m,x,y,z,h,rho
1,0.025,0.025,0.025,0.05,1
1,0.025,0.07500000000000001,0.07500000000000001,0.05,1
1,0.025,0.125,0.125,0.05,1
1,0.025,0.175,0.175,0.05,1
1,0.025,0.225,0.225,0.05,1
1,0.025,0.275,0.275,0.05,1
1,0.025,0.325,0.325,0.05,1
1,0.025,0.375,0.375,0.05,1
1,0.025,0.42500000000000004,0.42500000000000004,0.05,1
1,0.025,0.47500000000000003,0.47500000000000003,0.05,1
1,0.025,0.525,0.525,0.05,1
1,0.025,0.5750000000000001,0.5750000000000001,0.05,1
1,0.025,0.625,0.625,0.05,1
1,0.025,0.675,0.675,0.05,1
1,0.025,0.725,0.725,0.05,1
1,0.025,0.775,0.775,0.05,1
1,0.025,0.8250000000000001,0.8250000000000001,0.05,1
1,0.025,0.875,0.875,0.05,1
1,0.025,0.925,0.925,0.05,1
1,0.025,0.975,0.975,0.05,1
1,0.07500000000000001,0.025,0.025,0.05,1
1,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.05,1
1,0.07500000000000001,0.125,0.125,0.05,1
1,0.07500000000000001,0.175,0.175,0.05,1
1,0.07500000000000001,0.225,0.225,0.05,1
1,0.07500000000000001,0.275,0.275,0.05,1
1,0.07500000000000001,0.325,0.325,0.05,1
1,0.07500000000000001,0.375,0.375,0.05,1
1,0.07500000000000001,0.42500000000000004,0.42500000000000004,0.05,1
1,0.07500000000000001,0.47500000000000003,0.47500000000000003,0.05,1
1,0.07500000000000001,0.525,0.525,0.05,1
1,0.07500000000000001,0.5750000000000001,0.5750000000000001,0.05,1
1,0.07500000000000001,0.625,0.625,0.05,1
1,0.07500000000000001,0.675,0.675,0.05,1
1,0.07500000000000001,0.725,0.725,0.05,1
1,0.07500000000000001,0.775,0.775,0.05,1
1,0.07500000000000001,0.8250000000000001,0.8250000000000001,0.05,1
1,0.07500000000000001,0.875,0.875,0.05,1
1,0.07500000000000001,0.925,0.925,0.05,1
1,0.07500000000000001,0.975,0.975,0.05,1
1,0.125,0.025,0.025,0.05,1
1,0.125,0.07500000000000001,0.07500000000000001,0.05,1
1,0.125,0.125,0.125,0.05,1
1,0.125,0.175,0.175,0.05,1
1,0.125,0.225,0.225,0.05,1
1,0.125,0.275,0.275,0.05,1
1,0.125,0.325,0.325,0.05,1
1,0.125,0.375,0.375,0.05,1
1,0.125,0.42500000000000004,0.42500000000000004,0.05,1
1,0.125,0.47500000000000003,0.47500000000000003,0.05,1
1,0.125,0.525,0.525,0.05,1
1,0.125,0.5750000000000001,0.5750000000000001,0.05,1
1,0.125,0.625,0.625,0.05,1
1,0.125,0.675,0.675,0.05,1
